"","Package","Version","Priority"
"1","askpass","1.1",NA
"2","backports","1.1.8",NA
"3","base64enc","0.1-3",NA
"4","BH","1.72.0-3",NA
"5","commonmark","1.7",NA
"6","crayon","1.3.4",NA
"7","curl","4.3",NA
"8","digest","0.6.25",NA
"9","evaluate","0.14",NA
"10","fastmap","1.0.1",NA
"11","glue","1.4.1",NA
"12","highr","0.8",NA
"13","htmltools","0.5.0",NA
"14","httpuv","1.5.4",NA
"15","jsonlite","1.7.0",NA
"16","knitr","1.29",NA
"17","later","1.1.0.1",NA
"18","magrittr","1.5",NA
"19","markdown","1.1",NA
"20","mime","0.9",NA
"21","openssl","1.4.2",NA
"22","packrat","0.5.0",NA
"23","promises","1.1.1",NA
"24","R6","2.4.1",NA
"25","Rcpp","1.0.5",NA
"26","rlang","0.4.7",NA
"27","rmarkdown","2.3",NA
"28","rprojroot","1.3-2",NA
"29","rsconnect","0.8.16",NA
"30","rstudioapi","0.11",NA
"31","shiny","1.5.0",NA
"32","sourcetools","0.1.7",NA
"33","stringi","1.4.6",NA
"34","stringr","1.4.0",NA
"35","sys","3.3",NA
"36","tinytex","0.24",NA
"37","withr","2.2.0",NA
"38","xfun","0.15",NA
"39","xtable","1.8-4",NA
"40","yaml","2.2.1",NA
"41","base","4.0.2","base"
"42","boot","1.3-25","recommended"
"43","class","7.3-17","recommended"
"44","cluster","2.1.0","recommended"
"45","codetools","0.2-16","recommended"
"46","compiler","4.0.2","base"
"47","datasets","4.0.2","base"
"48","foreign","0.8-79","recommended"
"49","graphics","4.0.2","base"
"50","grDevices","4.0.2","base"
"51","grid","4.0.2","base"
"52","KernSmooth","2.23-17","recommended"
"53","lattice","0.20-41","recommended"
"54","MASS","7.3-51.6","recommended"
"55","Matrix","1.2-18","recommended"
"56","methods","4.0.2","base"
"57","mgcv","1.8-31","recommended"
"58","nlme","3.1-147","recommended"
"59","nnet","7.3-14","recommended"
"60","parallel","4.0.2","base"
"61","rpart","4.1-15","recommended"
"62","spatial","7.3-11","recommended"
"63","splines","4.0.2","base"
"64","stats","4.0.2","base"
"65","stats4","4.0.2","base"
"66","survival","3.1-12","recommended"
"67","tcltk","4.0.2","base"
"68","tools","4.0.2","base"
"69","utils","4.0.2","base"
